"user_id","run_id","dataset","language","score","score_se","age","num_attempted","adaptive"
"RpGcGAmMwz2vlKyrtqnk","faJHkI4uZcXYBJDNKDnd","pilot_western_ca_main","en-US",1.51,0.43,10.3,48,TRUE
"sNOKjhkjOJEGZoDcsWce","o2uiOq4tFOnRlnnLjveF","pilot_western_ca_main","en-US",-0.28,0.51,8.7,33,TRUE
"NvrKIVU5l0y9QPjPilxg","V3fuEpqWu3S5kPkNchUY","pilot_western_ca_main","en-US",1.69,0.4,8.5,64,TRUE
"1wD1NoDytLazQ07r2MRo","EMNYavj3NQB7LOSEHX91","pilot_western_ca_main","en-US",0.13,0.45,8.4,36,TRUE
"IX5sqQ2pMVdYM6vwUuIJ","dnpXm3Icq4p94eZKTQju","pilot_western_ca_main","en-US",-0.64,0.45,7.5,36,TRUE
"rFqabJnnpOvdhXws1Lab","nkYttakeIF2hAt2R0hXu","pilot_western_ca_main","en-US",2,0.43,11.3,50,TRUE
"nHKQ5oMfIG7cPqF4oX2d","Ft0BgncH97CYvRwBHZ0u","pilot_western_ca_main","en-US",0.12,0.3,6.9,143,FALSE
"6XdEb9CgjSc4v49teN1N","SE0kVeSV4PPMelu4B37c","pilot_western_ca_main","en-US",-0.01,0.35,11.4,70,TRUE
"5l967S2t5bdqJdZWw6kn","xWgmcNGdVabZMLasWq20","pilot_western_ca_main","en-US",0.73,0.64,9.6,21,TRUE
"MJAuN44EythfDYkRs5D0","F9Jj9ArmWpFsyIohEMz8","pilot_western_ca_main","en-US",0.84,0.4,12.2,60,TRUE
"DQpHyyuXUi0lUlN7MgB4","Tr42VceY4d09NwiAlqxi","pilot_western_ca_main","en-US",0.12,0.42,9.7,47,TRUE
"nEiP2T1PzDX8KHDr4Ekl","aMXkox8JNhLBT1pMPkNB","pilot_western_ca_main","en-US",-1.59,0.32,9.8,82,TRUE
"HTZrYQbPMZbr0NW00p5e","AVd5xnSg0UXDSfQGb5uQ","pilot_western_ca_main","en-US",0.21,0.47,8.5,34,TRUE
"JASMXpcM79KgP0wyONQV","i0VaLQu47faVXhyStcIG","pilot_western_ca_main","en-US",0.9,0.42,9.5,53,TRUE
"INy8bEW9JX1kBONeJ7N0","STiA2GMnEbNiqo3YicNB","pilot_western_ca_main","en-US",0.44,0.51,7.5,33,TRUE
"5kzY7oAVnxuLhjUOwCr3","xxf0gaC1EGEMVYCxTo2K","pilot_western_ca_main","en-US",1.41,0.45,8.4,43,TRUE
"bvdOR50qfHHmPqPOB0NL","XB9RkQF1hIdQ7xG5LCux","pilot_western_ca_main","en-US",-0.26,0.43,7.7,42,TRUE
"JY9C5FQOQEn2pInZzBPg","PUuwWIwUZgGOYChhQTIB","pilot_western_ca_main","en-US",2.09,0.47,10.6,45,TRUE
"JDafgVq9haS7u0p2N7bm","rUFHWyESyZwxpYw4fk60","pilot_western_ca_main","en-US",-0.61,0.38,9.5,52,TRUE
"3da9vDHHLOZpw49VUh38","5p0SQfK1G3VzvOIy5Thr","pilot_western_ca_main","en-US",0.29,0.35,11.4,64,TRUE
"HUw62S8yS9OAUAOJ7892","v3lPzysFwa1mimn3OAPG","pilot_western_ca_main","en-US",-0.01,0.42,10.6,53,TRUE
"xfrb4JPR9p31112E5aug","9llYklEZ3r6ysxPknVG4","pilot_western_ca_main","en-US",-0.97,0.38,8.2,53,TRUE
"ofUEl1kobJc9aZj6dmfc","lYBE4BApo4YtKq6uWd5s","pilot_western_ca_main","en-US",3.48,0.53,12.7,53,TRUE
"sEjDlDV7MAJFI4WoM1TP","iwXSipRsa7fjJV0Iialu","pilot_western_ca_main","en-US",1.11,0.46,8.4,39,TRUE
"xrI5eqgWbqlF1wAJK0hi","LnS7iFw9BqXeqBeqcq2z","pilot_western_ca_main","en-US",0.27,0.39,10.6,49,TRUE
"rhf0Rxwnb1IhB7ZqX3ry","DH9w1vZngP1eEbWVB1v3","pilot_western_ca_main","en-US",-1.47,0.59,5,21,FALSE
"s1woiH3DKHPScxloTkiz","B2nN3je9BvBaHvvUF7wl","pilot_western_ca_main","en-US",2.28,0.36,12.7,170,FALSE
"G38GNycv1M6pfp7RstBJ","WJIaT5h4OuHUWmWdsWpP","pilot_western_ca_main","en-US",0.14,0.31,5.9,145,FALSE
"fVqdh0YuMQaOwHB8GpSe","bdRzjjoxAi941Xlqtl7p","pilot_western_ca_main","en-US",-4.79,0.52,5.5,58,TRUE
"LQmMTjpV5Y7Dkovl9AQR","DqXYomJQNVnWvi5MT4VU","pilot_western_ca_main","en-US",0.86,0.3,9.6,170,FALSE
"NvrKIVU5l0y9QPjPilxg","qmlxgOiU3VTtZxMAVCkY","pilot_western_ca_main","en-US",1.06,0.31,7.5,170,FALSE
"sNOKjhkjOJEGZoDcsWce","nwHzLwEf7Yc6uZAiHsbD","pilot_western_ca_main","en-US",-1.59,0.31,7.7,133,FALSE
"4uULJwlMr560xGA2ziOR","3QZF6KBzF6nkx7fsgyxC","pilot_western_ca_main","en-US",0.16,0.54,10.1,29,TRUE
"EHEJ4LWa1WfCPiMHRx2u","2bpVFyTkJt82ejJwtUo1","pilot_western_ca_main","en-US",0.65,0.36,8.5,63,TRUE
"NLjr4uVR5gmCGPs7KBed","wdbgJAJ5MkhZqw3qgEXx","pilot_western_ca_main","en-US",1.68,0.45,10.6,45,TRUE
"SVYJFUwXRumO2xH65n5q","iQbLGVONhygHfCNIFgm3","pilot_western_ca_main","en-US",1.05,0.66,11.3,33,TRUE
"J2n1ekiZ3RCLj0BHpOio","qarvRApAKsL4Ny5hXHwN","pilot_western_ca_main","en-US",-3.11,0.4,8.3,78,TRUE
"AFSJskfb541D1709Gl9T","H9GCkAHJWQdSYBssLY27","pilot_western_ca_main","en-US",1.27,0.46,12.1,41,TRUE
"pBcolq9M2uGDVpFxaczI","cAdba2y6ZvtSzW9zNQCt","pilot_western_ca_main","en-US",0.11,0.48,9.2,33,TRUE
"vEz14SJE0iN80iDyXii6","mdmwMt0UAPb0q1cgVBQQ","pilot_western_ca_main","en-US",1.31,0.48,8.2,41,TRUE
"D1EI1Uj7rS2jGTgH4lfR","cYdfamgr8qPWh0eEorXQ","pilot_western_ca_main","en-US",1.83,0.54,9.7,34,TRUE
"43q8zrFDwc4WGbmena4o","4RNs9zz5ZsEhF7sF84WA","pilot_western_ca_main","en-US",-0.14,0.47,11.4,36,TRUE
"veduGakKd3V3hbPlWObR","neI79EiMm9GOuUx7tE4h","pilot_western_ca_main","en-US",0.55,0.4,10.1,54,TRUE
"UZr22WJbJRn7eUP0hLO6","hQ1evlofP38KpNiMM4lE","pilot_western_ca_main","en-US",1.38,0.45,11.6,40,TRUE
"jGGCkyVSTSZX1JR9FaE2","EnB5xYs8Dx6DH1wGTPlB","pilot_western_ca_main","en-US",-0.95,0.29,9.8,143,FALSE
"5Xe3FBRTVY7DewJtLych","GBrcIZzexv7oBuff854I","pilot_western_ca_main","en-US",-0.4,0.3,11,135,FALSE
"IvAoqy71fRFIl2ncN0jn","W6aJM4N66dRfe4VfgGND","pilot_western_ca_main","en-US",0.58,0.29,7.4,154,FALSE
"BJJ8phVrTcRA6SP2wnq1","7RR2rDc87s4Z4PAI4ZfA","pilot_western_ca_main","en-US",-1.17,0.3,6.5,120,FALSE
"IdGWnD9eo0wmHOHhONOo","3atkUtdeVFg1YO6EOMwu","pilot_western_ca_main","en-US",0.57,0.35,10.2,76,TRUE
"vSUfCu0eXDXCNNV3BTFA","wJPRO2SspGwUJcrSzGMS","pilot_western_ca_main","en-US",-2.47,0.45,7.4,41,TRUE
"nnaJsSLEY6e0M1PaKeof","qXbRag3YrwXspsxO3juM","pilot_western_ca_main","en-US",-0.5,0.37,6.8,58,TRUE
"uCCHG77KFJgrwaVWOVA8","25SY6hvQSQNozsLPMFYt","pilot_western_ca_main","en-US",-1.32,0.36,5.3,60,TRUE
